日期,赛事,比赛,模拟ID,赛制阶段,市场框架,模拟盘口/价格,模拟方向,虚拟仓位单位,基本面拉力,盘口倾向,Polymarket/交易所情绪,流动性,模拟目的,是否主单,赛果,模拟盈亏单位,过程评级,错误类型,模型更新,开赛时间,比赛ID,赛事原始,国家,层级,五大地区筛选
2026-08-25,英联杯,普利茅斯 vs 考文垂,20260825-TITAN-3062781-盘口快照-不形成模拟,排名/阶段 英甲22-英超19,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 英甲22-英超19；综合评分 主41/客59；伤停 主[10 拜杜(中场)-受伤、6 M.博阿滕(中场)-受伤、18 欧文·奥塞尼(前锋)-受伤、5 胡里奧披古(后卫)-疑似伤...] / 客[1 奥利弗·多文(守门员)-十字韧带撕裂、33 布劳(左后卫)-未知的损伤、26 沃尔芬登(中卫)-受伤、11 怀特(中...]；首发未接入/待赛前1小时核；近况 全部/记录: 主5胜3平2负 / 客5胜3平2负；主队 客队/记录: 主6胜1平3负 / 客5胜2平3负；H2H 全部/记录: 主2胜1平3负 / 客3胜1平2负；主客相同/记录: 主4胜1平1负 / 客1胜1平4负,Titan007亚盘 开 0.94/-0.75/0.88；即 0.91/-0.75/0.91；欧赔 开 4.15/3.95/1.65；即 3.95/3.8/1.71；去水 主23.0%/平23.9%/客53.1%；返还率90.8%；大小球 开 0.86/2.75/0.94；即 0.86/2.75/0.94；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：客队上盘，让球基本稳定，上盘水位0.91，下盘水位0.91，欧赔变化不大；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,普利茅斯2-4考文垂,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3062781,英联杯,英格兰,杯赛,是
2026-08-26,西甲,皇家马德里 vs 皇家社会,20260826-TITAN-3013649-盘口快照-不形成模拟,排名/阶段 7-19,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 7-19；综合评分 主73/客27；伤停 主[14 楚阿梅尼(后腰)-肌肉损伤、2 R·阿森西奥(中卫)-肌肉损伤、9 恩德里克(中锋)-肌肉损伤、3 米利唐(中卫)...] / 客[11 格德斯(左边锋)-外科手术、4 J·格罗特吉(后腰)-耻骨炎、20 奥德里奥佐拉(右后卫)-十字韧带撕裂、15 P...]；首发未接入/待赛前1小时核；近况 全部/记录: 主6胜2平2负 / 客0胜6平4负；主队 客队/记录: 主7胜1平2负 / 客1胜4平5负；H2H 全部/记录: 主5胜0平1负 / 客1胜0平5负；主客相同/记录: 主4胜1平1负 / 客1胜1平4负,Titan007亚盘 开 0.94/1.25/0.88；即 0.85/1.5/1.03；欧赔 开 1.41/4.6/5.7；即 1.28/5.1/7.7；去水 主70.6%/平17.7%/客11.7%；返还率90.3%；大小球 开 0.86/3.0/0.94；即 0.92/3.25/0.96；亚盘意图候选：诱上/阻下（中证据）；依据：主队上盘，让球加深，上盘水位0.85，下盘水位1.03，欧赔支持上盘；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,皇家马德里4-1皇家社会,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3013649,西甲,西班牙,顶级,是
2026-08-26,英联杯,布拉德福德 vs 伯恩利,20260826-TITAN-3062763-盘口快照-不形成模拟,排名/阶段 英甲1-英冠19,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 英甲1-英冠19；综合评分 主43/客57；伤停 主[未接入/待核] / 客[0 库伦(中场)-十字韧带撕裂]；首发未接入/待赛前1小时核；近况 全部/记录: 主4胜3平3负 / 客0胜4平6负；主队 客队/记录: 主5胜3平2负 / 客1胜2平7负；H2H 全部/记录: 主0胜0平2负 / 客2胜0平0负；主客相同/记录: 主0胜0平1负 / 客1胜0平0负,Titan007亚盘 开 0.9/-0.25/0.92；即 0.97/-0.25/0.85；欧赔 开 2.97/3.35/2.16；即 3.1/3.35/2.09；去水 主29.3%/平27.1%/客43.5%；返还率90.9%；大小球 开 0.82/2.25/0.98；即 0.99/2.5/0.81；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：客队上盘，让球基本稳定，上盘水位0.85，下盘水位0.97，欧赔变化不大；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,布拉德福德0-0伯恩利,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3062763,英联杯,英格兰,杯赛,是
2026-08-26,英联杯,纽卡斯尔联 vs 西布罗姆维奇,20260826-TITAN-3062771-盘口快照-不形成模拟,排名/阶段 英超11-英冠2,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 英超11-英冠2；综合评分 主57/客43；伤停 主[2 V.利夫拉门托(右后卫)-膝关节损伤、7 若埃林顿(中前卫)-受伤] / 客[22 唐森德(后卫)-十字韧带撕裂、10 约翰斯顿(前锋)-疲劳性骨折、19 赫格博阿(前锋)-红牌禁赛、8 摩伦比(中...]；首发未接入/待赛前1小时核；近况 全部/记录: 主2胜2平6负 / 客5胜4平1负；主队 客队/记录: 主4胜2平4负 / 客4胜3平3负；H2H 全部/记录: 主3胜2平1负 / 客1胜2平3负；主客相同/记录: 主4胜1平1负 / 客1胜1平4负,Titan007亚盘 开 0.82/1.25/1.0；即 0.94/1.5/0.88；欧赔 开 1.36/4.8/6.4；即 1.32/5.0/6.9；去水 主68.7%/平18.1%/客13.1%；返还率90.7%；大小球 开 0.9/3.0/0.9；即 0.77/3.0/1.03；亚盘意图候选：真实示强/阻上（中证据）；依据：主队上盘，让球加深，上盘水位0.94，下盘水位0.88，欧赔变化不大；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,纽卡斯尔联3-2西布罗姆维奇,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3062771,英联杯,英格兰,杯赛,是
2026-08-26,英联杯,普雷斯顿 vs 埃弗顿,20260826-TITAN-3062773-盘口快照-不形成模拟,排名/阶段 英冠21-英超4,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 英冠21-英超4；综合评分 主28/客72；伤停 主[0 卡罗尔(前腰)-脚踝损伤、0 波茨(中场)-受伤、9 J·埃拉比(前锋)-疑似伤病] / 客[30 哈克尼(后腰)-未知的损伤、42 蒂姆·伊罗格布纳(中前卫)-受伤、23 内尔高(后腰)-受伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主2胜3平5负 / 客2胜3平5负；主队 客队/记录: 主2胜3平5负 / 客4胜3平3负；H2H 全部/记录: 主0胜0平1负 / 客1胜0平0负,Titan007亚盘 开 0.99/-1.0/0.83；即 0.92/-1.0/0.9；欧赔 开 5.3/4.25/1.47；即 5.1/4.2/1.5；去水 主17.8%/平21.6%/客60.6%；返还率90.8%；大小球 开 0.88/2.75/0.92；即 0.87/2.75/0.93；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：客队上盘，让球基本稳定，上盘水位0.90，下盘水位0.92，欧赔变化不大；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,普雷斯顿0-4埃弗顿,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3062773,英联杯,英格兰,杯赛,是
2026-08-26,英联杯,托特纳姆热刺 vs 查尔顿,20260826-TITAN-3062778-盘口快照-不形成模拟,排名/阶段 英超18-英冠3,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 英超18-英冠3；综合评分 主60/客40；伤停 主[28 奥多波特(左边锋)-十字韧带撕裂、7 西蒙斯(前腰)-十字韧带撕裂、37 范德芬(中卫)-受伤、21 D·库卢塞夫...] / 客[33 迈卡.姆比克(中锋)-膝关节损伤、0 爱德华兹(左后卫)-受伤、2 拉姆塞(后卫)-受伤、23 凯尔曼(前锋)-受...]；首发未接入/待赛前1小时核；近况 全部/记录: 主4胜2平4负 / 客4胜2平4负；主队 客队/记录: 主3胜3平4负 / 客4胜5平1负；H2H 全部/记录: 主5胜0平1负 / 客1胜0平5负；主客相同/记录: 主3胜1平2负 / 客2胜1平3负,Titan007亚盘 开 0.94/1.75/0.88；即 1.01/2.0/0.81；欧赔 开 1.24/5.6/8.6；即 1.19/6.1/10.5；去水 主76.4%/平14.9%/客8.7%；返还率90.9%；大小球 开 0.97/3.25/0.83；即 0.96/3.25/0.84；亚盘意图候选：阻上/诱下（中证据）；依据：主队上盘，让球加深，上盘水位1.01，下盘水位0.81，欧赔变化不大；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,托特纳姆热刺5-1查尔顿,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3062778,英联杯,英格兰,杯赛,是
2026-08-27,西甲,巴塞罗那 vs 毕尔巴鄂竞技,20260827-TITAN-3013644-盘口快照-不形成模拟,排名/阶段 6-19,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 6-19；综合评分 主79/客21；伤停 主[0 F.德容(中前卫)-膝盖内侧韧带撕裂、0 鲁尼·巴德吉(右边锋)-十字韧带撕裂、6 加维(中前卫)-疑似伤病] / 客[0 U.埃吉卢兹(中卫)-十字韧带撕裂、17 贝尔奇切(左后卫)-禁赛、0 本纳特.迪亚兹(中前卫)-受伤、3 D.维维...]；首发未接入/待赛前1小时核；近况 全部/记录: 主8胜0平2负 / 客2胜1平7负；主队 客队/记录: 主9胜0平1负 / 客3胜1平6负；H2H 全部/记录: 主6胜0平0负 / 客0胜0平6负；主客相同/记录: 主6胜0平0负 / 客0胜0平6负,Titan007亚盘 开 0.96/1.25/0.86；即 0.87/1.75/1.02；欧赔 开 1.26/6.44/10.6；即 1.39/5.0/7.05；去水 主67.8%/平18.8%/客13.4%；返还率94.2%；大小球 开 0.8/3.0/1.0；即 0.97/3.5/0.92；亚盘意图候选：真实示强/阻上（中证据）；依据：主队上盘，让球加深，上盘水位0.87，下盘水位1.02，欧赔削弱上盘；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,巴塞罗那2-0毕尔巴鄂竞技,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3013644,西甲,西班牙,顶级,是
2026-08-27,西甲,塞尔塔 vs 奥萨苏纳,20260827-TITAN-3013645-盘口快照-不形成模拟,排名/阶段 12-11,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 12-11；综合评分 主57/客43；伤停 主[未接入/待核] / 客[19 罗齐尔(右后卫)-受伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主3胜2平5负 / 客1胜3平6负；主队 客队/记录: 主4胜1平5负 / 客2胜3平5负；H2H 全部/记录: 主3胜0平3负 / 客3胜0平3负；主客相同/记录: 主3胜0平3负 / 客3胜0平3负,Titan007亚盘 开 0.96/0.5/0.86；即 0.99/0.5/0.9；欧赔 开 1.97/3.3/4.13；即 2.0/3.35/3.72；去水 主46.8%/平28.0%/客25.2%；返还率93.7%；大小球 开 0.84/2.25/0.96；即 1.04/2.25/0.85；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：主队上盘，让球基本稳定，上盘水位0.99，下盘水位0.90，欧赔变化不大；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,塞尔塔1-2奥萨苏纳,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3013645,西甲,西班牙,顶级,是
2026-08-27,法丙,卡昂 vs 巴斯蒂亚,20260827-TITAN-3019974-盘口快照-不形成模拟,排名/阶段 4-12,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 4-12；综合评分 主57/客43；伤停未发现结构化名单/待临场核；首发未接入/待赛前1小时核；近况 全部/记录: 主5胜3平2负 / 客3胜3平4负；主队 客队/记录: 主4胜5平1负 / 客4胜5平1负；H2H 全部/记录: 主4胜0平2负 / 客2胜0平4负；主客相同/记录: 主5胜1平0负 / 客0胜1平5负,Titan007亚盘 开 0.76/0.0/1.0；即 0.78/0.25/1.08；欧赔 开 2.07/3.37/3.18；即 2.41/3.1/2.75；去水 主37.7%/平29.3%/客33.0%；返还率90.8%；大小球 开 0.96/2.5/0.8；即 0.88/2.75/0.96；亚盘意图候选：诱上/阻下（中证据）；依据：主队上盘，让球加深，上盘水位0.78，下盘水位1.08，欧赔削弱上盘；缺伤停、首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,卡昂0-1巴斯蒂亚,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3019974,法丙,法国,次次级,是
2026-08-27,英联杯,切尔西 vs 卢顿,20260827-TITAN-3062766-盘口快照-不形成模拟,排名/阶段 英超6-英甲3,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 英超6-英甲3；综合评分 主60/客40；伤停 主[22 伊曼纽尔·埃梅加(中锋)-腿筋受伤、0 C·威利(左后卫)-内收肌损伤、30 A·安塞尔米诺(中卫)-腿筋受伤、1...] / 客[18 克拉克(中场)-下巴骨折、0 巴蒂斯特(中前卫)-十字韧带撕裂、19 卢克(中场)-受伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主3胜1平6负 / 客8胜2平0负；主队 客队/记录: 主3胜1平6负 / 客7胜3平0负；H2H 全部/记录: 主4胜0平0负 / 客0胜0平4负；主客相同/记录: 主2胜0平0负 / 客0胜0平2负,Titan007亚盘 开 0.79/1.75/1.03；即 0.99/2.25/0.89；欧赔 开 1.15/7.84/15.1；即 1.21/6.18/11.51；去水 主76.9%/平15.1%/客8.1%；返还率93.0%；大小球 开 0.96/3.25/0.84；即 0.88/3.5/0.98；亚盘意图候选：真实示强/阻上（中证据）；依据：主队上盘，让球加深，上盘水位0.99，下盘水位0.89，欧赔变化不大；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,切尔西2-0卢顿,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3062766,英联杯,英格兰,杯赛,是
2026-08-27,英联杯,富勒姆 vs AFC温布尔登,20260827-TITAN-3062769-盘口快照-不形成模拟,排名/阶段 英超12-英甲23,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 英超12-英甲23；综合评分 主74/客26；伤停 主[10 凯尔尼(中前卫)-膝关节手术、5 安德森(中卫)-红牌禁赛] / 客[未接入/待核]；首发未接入/待赛前1小时核；近况 全部/记录: 主3胜3平4负 / 客1胜3平6负；主队 客队/记录: 主5胜0平5负 / 客1胜3平6负,Titan007亚盘 开 0.9/2.0/0.92；即 0.91/2.0/0.97；欧赔 开 1.17/7.06/13.41；即 1.18/6.7/11.85；去水 主78.4%/平13.8%/客7.8%；返还率92.5%；大小球 开 0.89/3.25/0.91；即 1.01/3.5/0.85；亚盘意图候选：平衡盘/等待临场确认（中证据）；依据：主队上盘，让球基本稳定，上盘水位0.91，下盘水位0.97，欧赔变化不大；缺首发、H2H、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,富勒姆3-0AFC温布尔登,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,3062769,英联杯,英格兰,杯赛,是
2026-08-28,意甲,AC米兰 vs 威尼斯,20260828-TITAN-2993765-盘口快照-不形成模拟,排名/阶段 5-18,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 5-18；综合评分 主59/客41；伤停 主[0 S.希门尼斯(中锋)-踝关节扭伤、10 莱奥(左边锋)-疑似伤病] / 客[2 马蒂亚斯·莫雷诺(后卫)-肌肉问题、9 埃多兰特(中锋)-背部损伤、33 斯维科(中卫)-未知的损伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主4胜1平5负 / 客6胜3平1负；主队 客队/记录: 主3胜3平4负 / 客5胜5平0负；H2H 全部/记录: 主4胜0平0负 / 客0胜0平4负；主客相同/记录: 主2胜0平0负 / 客0胜0平2负,Titan007亚盘 开 0.83/1.25/1.05；即 0.78/1.0/1.12；欧赔 开 1.47/4.48/6.89；即 1.35/4.81/8.78；去水 主69.7%/平19.6%/客10.7%；返还率94.1%；大小球 开 0.88/2.5/0.98；即 0.91/2.75/0.98；亚盘意图候选：降温保护/诱下（中证据）；依据：主队上盘，让球退盘，上盘水位0.78，下盘水位1.12，欧赔支持上盘；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,AC米兰2-0威尼斯,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,2993765,意甲,意大利,顶级,是
2026-08-28,法甲,里尔 vs 巴黎圣日耳曼,20260828-TITAN-2995325-盘口快照-不形成模拟,排名/阶段 4-7,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 4-7；综合评分 主37/客63；伤停 主[7 M·费尔南德斯(中锋)-黄牌累计停赛、29 H·伊加马内(中锋)-十字韧带撕裂、23 考瓦西(中卫)-疑似伤病] / 客[25 门德斯(左后卫)-禁赛、10 登贝莱(中锋)-伤病、49 姆巴耶(右边锋)-其他、29 巴尔科拉(左边锋)-其他]；首发未接入/待赛前1小时核；近况 全部/记录: 主6胜2平2负 / 客4胜4平2负；主队 客队/记录: 主3胜4平3负 / 客6胜2平2负；H2H 全部/记录: 主0胜2平4负 / 客4胜2平0负；主客相同/记录: 主1胜2平3负 / 客3胜2平1负,Titan007亚盘 开 0.87/-0.75/1.01；即 1.11/-0.75/0.79；欧赔 开 5.09/3.94/1.66；即 4.26/3.84/1.76；去水 主22.1%/平24.5%/客53.4%；返还率94.0%；大小球 开 0.96/2.75/0.9；即 0.97/2.75/0.91；亚盘意图候选：诱上/阻下（中证据）；依据：客队上盘，让球基本稳定，上盘水位0.79，下盘水位1.11，欧赔削弱上盘；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,里尔2-2巴黎圣日耳曼,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,2995325,法甲,法国,顶级,是
2026-08-28,法乙,克莱蒙 vs 索肖,20260828-TITAN-2997700-盘口快照-不形成模拟,排名/阶段 16-11,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 16-11；综合评分 主51/客49；伤停未发现结构化名单/待临场核；首发未接入/待赛前1小时核；近况 全部/记录: 主2胜5平3负 / 客2胜5平3负；主队 客队/记录: 主2胜4平4负 / 客5胜3平2负；H2H 全部/记录: 主2胜2平2负 / 客2胜2平2负；主客相同/记录: 主3胜1平2负 / 客2胜1平3负,Titan007亚盘 开 1.01/0.0/0.81；即 0.8/0.0/1.08；欧赔 开 2.57/3.1/2.76；即 2.66/3.05/2.64；去水 主34.7%/平30.3%/客35.0%；返还率92.4%；大小球 开 0.97/2.25/0.83；即 0.98/2.25/0.88；亚盘意图候选：阻上/降温保护（中证据）；依据：客队上盘，让球基本稳定，上盘水位1.08，下盘水位0.80，欧赔支持上盘；缺伤停、首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,克莱蒙0-0索肖,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,2997700,法乙,法国,次级,是
2026-08-28,法乙,拉瓦勒 vs 格勒诺布尔,20260828-TITAN-2997703-盘口快照-不形成模拟,排名/阶段 10-17,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 10-17；综合评分 主55/客45；伤停 主[13 科克兰(中场)-面部骨折、26 埃斯梅尔(中场)-膝关节损伤、12 科马雷(后卫)-肩部损伤] / 客[未接入/待核]；首发未接入/待赛前1小时核；近况 全部/记录: 主4胜4平2负 / 客2胜4平4负；主队 客队/记录: 主4胜5平1负 / 客1胜4平5负；H2H 全部/记录: 主2胜2平2负 / 客2胜2平2负；主客相同/记录: 主2胜2平2负 / 客2胜2平2负,Titan007亚盘 开 0.81/0.25/1.01；即 0.86/0.25/1.02；欧赔 开 2.07/3.13/3.7；即 2.06/2.95/3.87；去水 主44.8%/平31.3%/客23.9%；返还率92.4%；大小球 开 0.87/2.25/0.93；即 0.86/2.25/1.0；亚盘意图候选：阻下/上盘保护（中证据）；依据：主队上盘，让球基本稳定，上盘水位0.86，下盘水位1.02，欧赔变化不大；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,拉瓦勒0-3格勒诺布尔,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,2997703,法乙,法国,次级,是
2026-08-28,法乙,蒙彼利埃 vs 布洛涅,20260828-TITAN-2997704-盘口快照-不形成模拟,排名/阶段 2-15,盘口快照-不形成模拟,已读取亚盘/欧赔/大小球即时快照；五板证据未完整，禁止选边和Kelly,无市场模拟（五板证据未完整）,0,主客排名/阶段 2-15；综合评分 主66/客34；伤停 主[22 盖金(前锋)-十字韧带撕裂] / 客[23 诺阿化达(前锋)-撞伤、97 Z·莫科(后卫)-眼外伤]；首发未接入/待赛前1小时核；近况 全部/记录: 主4胜5平1负 / 客0胜5平5负；主队 客队/记录: 主4胜3平3负 / 客3胜3平4负；H2H 全部/记录: 主3胜1平2负 / 客2胜1平3负；主客相同/记录: 主2胜1平1负 / 客1胜1平2负,Titan007亚盘 开 0.86/0.75/0.96；即 1.08/0.75/0.8；欧赔 开 1.75/3.47/4.66；即 1.65/3.67/4.82；去水 主55.8%/平25.1%/客19.1%；返还率92.1%；大小球 开 0.91/2.5/0.89；即 1.04/2.25/0.82；亚盘意图候选：阻上/降温保护（中证据）；依据：主队上盘，让球基本稳定，上盘水位1.08，下盘水位0.80，欧赔支持上盘；缺首发、PM/必发资金流，不能定论/不能下注；仅展示亚盘/欧赔/大小球价格，不选方向,缺失,Titan价格流；PM/必发/BTTS缺,严格按skill：展示盘口快照和球探详情；PM/必发真实资金流、BTTS二级盘口、公共观点和完整历史盘口归一化仍缺，不形成主单/Kelly,否,蒙彼利埃0-0布洛涅,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,2997704,法乙,法国,次级,是
